FireTruck,Rescue_veh,Water truc,Ambulance,count,levbycount,Total,comp_norm,Type,HBcount,LBcount,MBcount,C_count,R_count,I_count,others,Special_Co,To_Bui_Co,MED_Pop,LOW_Pop,High_Pop,Tot_Pop,Arr,Pop_22_10,Pop_10_22,compact_1,srid,compact,Intensity,Avgres,Output lay,Output l_1,X,Y,X,Y,PopupInfo,level,count
1,0,0,0,1,1,1,367.399999999999,RIC,10,0,38,6,37,5,,0,48,1368,0,1760,3128,16700,1334,1219,10.5078,409,0.255111111,6,11.67,367.4,367.4,72.8275,18.94075,72.8275,18.94075,MED HIGH RISE,0,0
1,0,0,0,1,1,1,78.4,C,0,0,28,28,0,0,,0,28,1008,0,0,1008,8400,196,1624,4.02889,410,0.130666667,1,7,78.4,78.4,72.8332,18.9408,72.8332,18.9407999999999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,90,C,0,0,30,30,0,0,Railway Station,0,30,1080,0,0,1080,9000,210,1740,4.31667,411,0.14,1,6,90,90,72.83605,18.94085,72.83605,18.94085,MEDIUM RISE,0,0
1,0,0,0,1,1,1,22.5,RC,0,0,15,5,10,0,Ship dock,0,15,540,0,0,540,4500,345,470,2.15833,412,0.07,3,13.5,22.5,22.5,72.8389,18.94085,72.8388999999999,18.94085,MEDIUM RISE,1,1
1,0,0,0,1,1,1,94.932,RC,3,0,24,5,22,0,,0,27,864,0,528,1392,8790,747,713,4.96533,413,0.135333333,1,25,94.932,94.932,72.82752515,18.93804211,72.82752515,18.93804211,MED HIGH RISE,0,0
1,0,0,0,1,1,1,250,RC,0,0,50,7,43,0,,0,50,1800,0,0,1800,15000,1382,1180,7.19444,414,0.233333333,1,5,250,250,72.83322545,18.93809212,72.83322545,18.93809212,MEDIUM RISE,0,0
1,0,0,0,1,1,1,851.791111110999,RC,0,34,76,50,60,0,,0,110,2736,2176,0,4912,29260,2108,3810,11.8422,415,0.437777778,7,7,851.791111111,851.791,72.83607485,18.93815789,72.83607485,18.9381578899999,LOW MED RISE,1,1
1,0,0,0,1,1,1,490,RC,0,0,70,26,44,0,,0,70,2520,0,0,2520,21000,1546,2300,10.0722,416,0.326666667,1,8,490,490,72.83892515,18.93814211,72.8389251499999,18.93814211,MEDIUM RISE,0,0
2,1,1,0,1,3,4,136.9,RC,0,0,37,13,24,0,,0,37,1332,0,0,1332,11100,835,1186,5.32389,417,0.172666667,3,15.13,136.9,136.9,72.82473393,18.93526726,72.8247339299999,18.93526726,MEDIUM RISE,3,1
2,4,1,0,2,4,7,864.899999999999,R,0,0,93,0,93,0,,0,93,3348,0,0,3348,27900,2883,1674,13.3817,418,0.434,8,12.13,864.9,864.9,72.82756607,18.93533274,72.82756607,18.93533274,MEDIUM RISE,8,2
